Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Companhia Paulista de Trens Metropolitanos;843317001100;CONCORRÊNCIA;CONSÓRCIO CONCREJATO-ALBERONI E ARRUDA;30/10/2018 00:00;31/10/2018 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1224527
Centro de Reabilitaçao de Casa Branca;;COMPRA POR ATA DE REGISTRO DE PREÇO;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A;05/02/2020 00:00;11/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391910
25º Batalhão de Polícia Militar do Interior;2020CT00110;CONVITE;MAXIM QUALITTA COMERCIO LTDA;28/02/2020 00:00;29/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393287
Departamento de Descentralização do Desenvolvimento;2020NE00006;CONVITE;MASS CLEAN COM. DE MERCADORIAS PARA HIGIENIZAÇÃO E;27/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392320
Instituto da Assistência Médica ao Servidor Público Estadual;011/2020;INEXIGIBILIDADE;CDO Centro de Diagnostico Oftalmologico;03/11/2019 00:00;03/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=122583
Departamento de Descentralização do Desenvolvimento;2020NE00007;CONVITE;COMERCIAL SANDALO LTDA - ME;27/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392323
Departamento de Descentralização do Desenvolvimento;2020NE00008;PREGÃO ELETRÔNICO;PRÁTICO DE GARÇA INDÚSTRIA E COMÉRCIO LTDA ME;28/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392358
Hospital Universitário da USP;012/2020;PREGÃO ELETRÔNICO;Pontual Comercial Agrícola Ltda;28/02/2020 00:00;03/03/2020 00:00;307;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388051
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE00198;PREGÃO ELETRÔNICO;MARCELO FRANCISCO CAYRES EVENTOS EPP;13/02/2020 00:00;03/03/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1308584
Secretaria da Administração Penitenciária;009/2020;PREGÃO ELETRÔNICO;IP SYSTEM TELECOMUNICAÇÕES E INFORMÁTICA LDTA EPP;21/02/2020 00:00;03/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389365
Companhia Paulista de Trens Metropolitanos;835319808100;CHAMADA PÚBLICA;SOCIAL SERVICE COMUNICAÇÃO MKT DE RESPONSABILIDADE;27/02/2020 00:00;29/02/2020 00:00;36;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1385513
Departamento Regional de Saúde de Marília DRS IX;2020CT00236;PREGÃO ELETRÔNICO;CFV COM PROD NUTRICION NATURAIS E ORGAN;13/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389651
Delegacia Seccional de Polícia de Santo André;2020NE00027;CONVITE;TORPEDO COMÉRCIO DE COMPUTADORES EIRELI;28/02/2020 00:00;29/02/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393309
Delegacia Seccional de Polícia de Santo André;2020NE00029;CONVITE;JLZ SUPRIMENTOS EIRELI;28/02/2020 00:00;29/02/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393309
Delegacia Seccional de Polícia de Santo André;2020NE00028;CONVITE;LICITAMAIS TECNOLOGIA DA INFORMAÇÃO EIRELI;28/02/2020 00:00;29/02/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393309
Delegacia Seccional de Polícia de Santo André;2020NE00026;CONVITE;B.S TECH COMERCIAL EIRELI;28/02/2020 00:00;29/02/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393309
Delegacia Seccional de Polícia de Santo André;2020NE00024;CONVITE;ERAGON COMÉRCIO E SERVIÇOS DE INFORMÁTICA E PAPELA;28/02/2020 00:00;29/02/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393309
Delegacia Seccional de Polícia de Santo André;2020NE00025;CONVITE;LRA COMPUTER INFORMÁTICA LTDA;28/02/2020 00:00;29/02/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393309
Diretoria de Ensino  Região de Bauru;002/2020;PREGÃO ELETRÔNICO;SHALOM SERVIÇOS TERCEIRIZADOS EIRELI - EPP;28/01/2020 00:00;29/02/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380806
Hospital das Clinicas da FMUSP;962/2019;PREGÃO ELETRÔNICO;ROCHE DIABETES CARE BRASIL LTDA;28/02/2020 00:00;29/02/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370396
Diretoria de Ensino  Região de Bauru;001/2020;PREGÃO ELETRÔNICO;VINICIUS BARRIONUEVO GARCIA GULLO - EPP;23/01/2020 00:00;29/02/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380817
Hospital das Clinicas da FMUSP;1204/19;PREGÃO ELETRÔNICO;VIC PHARMA INDÚSTRIA E COMÉRCIO LTDA;27/02/2020 00:00;29/02/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386026
Superintendência de Assistência Social - USP;032/2017;PREGÃO PRESENCIAL;CARFAG COMÉRCIO E SERVIÇO DE MANUTENÇÃO LTDA. EPP;21/02/2020 00:00;03/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1113573
Departamento Regional de Saúde de Marília DRS IX;2020CT00294;PREGÃO ELETRÔNICO;RICARDO RUBIO ME;19/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389654
Departamento Regional de Saúde de Marília DRS IX;2020CT00295;PREGÃO ELETRÔNICO;AMC SAUDE COMERCIAL HOSPITALAR EIRELI ME ;19/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389654
Diretoria do Departamento Estadual de Trânsito;18/2020;CONVÊNIO;LENÇÓIS PAULISTA ;26/02/2020 00:00;29/02/2020 00:00;5;3;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395973
Departamento Regional de Saúde de Marília DRS IX;2020CT00296;PREGÃO ELETRÔNICO;DROGARIA BARAO LTDA ME;19/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389654
Departamento Regional de Saúde de Marília DRS IX;2020CT00305;PREGÃO ELETRÔNICO;DROGARIA BARAO LTDA ME;21/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390374
Departamento Regional de Saúde de Marília DRS IX;2020CT00306;PREGÃO ELETRÔNICO;PAULA GONÇALVES DA SILVA 38627195889;21/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390374
Delegacia Seccional de Policia de Dracena;2020NE00044;PREGÃO ELETRÔNICO;Workbox Comercial Eireli EPP;28/02/2020 00:00;29/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392023
Delegacia Seccional de Policia de Dracena;2020NE00045;PREGÃO ELETRÔNICO;Fusão Color Cartuchos e Toners Ltda ME;28/02/2020 00:00;29/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392023
Delegacia Seccional de Policia de Dracena;2020NE00046;PREGÃO ELETRÔNICO;H.E.Jussani;28/02/2020 00:00;29/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392023
Delegacia Seccional de Policia de Dracena;2020NE00047;PREGÃO ELETRÔNICO;H.E.Jussani;28/02/2019 00:00;29/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392023
Departamento Regional de Saúde de Marília DRS IX;2020CT00276;PREGÃO ELETRÔNICO;ONCOPROD DISTR. DE PROD. HOSP. E ONCOL. LTDA;18/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389025
Companhia Paulista de Trens Metropolitanos;63319106100;PREGÃO ELETRÔNICO;BISMARK MÁQUINAS, FERRAMENTAS E ABRASIVOS LTDA ;27/02/2020 00:00;29/02/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387442
Departamento Regional de Saúde de Marília DRS IX;2020CT00277;PREGÃO ELETRÔNICO;ONCOPROD DISTR. DE PROD. HOSP. E ONCOL. LTDA;18/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389025
Fundação para a Conservação e a Produção Florestal do Estado de São Paulo;2020CT00174;DISPENSA;NEW LACRE COMÉRCIO DE LACRES E ABRAÇADEIRAS LTDA. ;27/02/2020 00:00;29/02/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395975
