Nome ”rg„o;N˙mero Processo;DescriÁ„o Processo;Modalidade de ContrataÁ„o;Empresa Contratada;CNPJ CPF;DescriÁ„o Processo;Item / Finalidade;Quantidade Item;Embalagem;Valor Unit·rio;Valor Total;N˙mero Empenho;Data Emiss„o;Tipo LicitaÁ„o;Materiais/ServiÁos;N˙mero Oferta Compra;Local Entrega;Nome Gest„o
SECRETARIA DA EDUCACAO;20309/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;SABONETE,LIQUIDO PEROLADO, ESSENCIA ERVA DOCE,PH ENTRE 6,5 - 7,0;AQUISIÁ„O DE KIT DE HIGIENE PARA COMBATE AO COVID-19 PARA A E.E. BRENO DI GRADO;27;246 - GALAO 5 L;22,3;602,1;2020NE00269;43957;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;20309/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;HIGIENIZADOR, 70% ALCOOL ETILICO;AQUISIÁ„O DE KIT DE HIGIENE PARA COMBATE AO COVID-19 PARA A E.E. BRENO DI GRADO;170;797 - FRASCO 1000 ML;18,738;3185,46;2020NE00269;43957;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;20309/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;PAPEL TOALHA, 22,5 X 20 CM;AQUISIÁ„O DE KIT DE HIGIENE PARA COMBATE AO COVID-19 PARA A E.E. BRENO DI GRADO;180;104 - PACOTE 1000 FL;11,6;2088;2020NE00269;43957;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;20318/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;HIGIENIZADOR, 70% ALCOOL ETILICO;AQUISIÁ„O DE KIT DE HIGIENE PRA COMBATE AO COVID-19 PARA E.E. PARQUE JARDIM HELENA;15;797 - FRASCO 1000 ML;18,738;281,07;2020NE00268;43957;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;20318/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;SABONETE,LIQUIDO PEROLADO, ESSENCIA ERVA DOCE,PH ENTRE 6,5 - 7,0;AQUISIÁ„O DE KIT DE HIGIENE PRA COMBATE AO COVID-19 PARA E.E. PARQUE JARDIM HELENA;3;246 - GALAO 5 L;22,8;68,4;2020NE00268;43957;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;20318/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;PAPEL TOALHA, 22,5 X 20 CM;AQUISIÁ„O DE KIT DE HIGIENE PRA COMBATE AO COVID-19 PARA E.E. PARQUE JARDIM HELENA;7;104 - PACOTE 1000 FL;11,6;81,2;2020NE00268;43957;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;23055/20;KIT DE HIGIENE;DISPENSA DE LICITACAO;PEDRO AUGUSTO DA CRUZ - EMPORIO ME;27695599000181;ALCOOL ETILICO A 70% PARA DESINFECCAO DE SUPERFICIE;AQUISIÁ„O DE ALCOOL EM GEL PARA AS E.E. ALBERTO SCWEITZER, BRENO DI GRADO E JARDIM HELENA PARA COMBATE AO COVID-19;100;28 - FRASCO 1 L;12,897;1289,7;2020NE00275;43958;5;Materiais;;RUA MOHAMAD I SALEH 979;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;22786/20;AQUISIÁ„O DE MATERIAL DE PROTEÁ„O AO COVID 19;DISPENSA DE LICITACAO;VIPEL COMERCIAL E SERVICOS LTDA - ME;3122375000112;LUVA PARA PROCEDIMENTO LATEX, TALCADA, NAO ESTERIL, TAMANHO G, PAR;AQUISIÁ„O DE PATERIAL DE HIGIENE PESSOAL DE PROTEÁ„O AO CORONAVIRUS - COVID 19 PARA AS UES QUE EST„O COM A APM IRREGULAR, EE REPUBLICA ARGENTINA , EE. ANTONIO C.C. GUIMARR„ES FILHO, EE. SEBASTI„O DE OLIVEIRA GUSM„O EE. DJEKUPE AMBA;47;38 - CAIXA 100 UN;51;2397;2020NE00197;43950;5;Materiais;;RUA FAUSTOLO, 281;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;22786/20;AQUISIÁ„O DE MATERIAL DE PROTEÁ„O AO COVID 19;DISPENSA DE LICITACAO;VIPEL COMERCIAL E SERVICOS LTDA - ME;3122375000112;MASCARA DE PROTECAO DESCARTAVEL COM TRIPLA CAMADA;AQUISIÁ„O DE PATERIAL DE HIGIENE PESSOAL DE PROTEÁ„O AO CORONAVIRUS - COVID 19 PARA AS UES QUE EST„O COM A APM IRREGULAR, EE REPUBLICA ARGENTINA , EE. ANTONIO C.C. GUIMARR„ES FILHO, EE. SEBASTI„O DE OLIVEIRA GUSM„O EE. DJEKUPE AMBA;48;1075 - EMBALAGEM 100 UN;85;4080;2020NE00197;43950;5;Materiais;;RUA FAUSTOLO, 281;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;22786/20;AQUISIÁ„O DE MATERIAL DE PROTEÁ„O AO COVID 19;DISPENSA DE LICITACAO;VIPEL COMERCIAL E SERVICOS LTDA - ME;3122375000112;HIGIENIZADOR, 70% ALCOOL ETILICO;AQUISIÁ„O DE PATERIAL DE HIGIENE PESSOAL DE PROTEÁ„O AO CORONAVIRUS - COVID 19 PARA AS UES QUE EST„O COM A APM IRREGULAR, EE REPUBLICA ARGENTINA , EE. ANTONIO C.C. GUIMARR„ES FILHO, EE. SEBASTI„O DE OLIVEIRA GUSM„O EE. DJEKUPE AMBA;240;797 - FRASCO 1000 ML;28;6720;2020NE00198;43950;5;Materiais;;RUA FAUSTOLO, 281;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;22786/20;AQUISIÁ„O DE MATERIAL DE PROTEÁ„O AO COVID 19;DISPENSA DE LICITACAO;VIPEL COMERCIAL E SERVICOS LTDA - ME;3122375000112;SABONETE LIQUIDO;AQUISIÁ„O DE PATERIAL DE HIGIENE PESSOAL DE PROTEÁ„O AO CORONAVIRUS - COVID 19 PARA AS UES QUE EST„O COM A APM IRREGULAR, EE REPUBLICA ARGENTINA , EE. ANTONIO C.C. GUIMARR„ES FILHO, EE. SEBASTI„O DE OLIVEIRA GUSM„O EE. DJEKUPE AMBA;200;34 - FRASCO 250 ML;22;4400;2020NE00198;43950;5;Materiais;;RUA FAUSTOLO, 281;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;17488/20;ALCOOL GEL E SABONETE;CONVITE;FIDELITY COMERCIO ARTIGOS ESCRITORIO PAPELARIA INF;17829173000110;MASCARA DE PROTECAO DESCARTAVEL,TNT,CAMADA DUPLA,BOCA E NARIZ;AQUISI«√O DE MATERIAL DE CONSUMO (HIGIENE E LIMPEZA) PARA A DIRETORIA DE ENSINO REGI√O S√O BERNARDO DO CAMPO DEVIDO A PANDEMIA DO COVID-19.;105;1 - UN;1,3;136,5;2020NE00307;43956;2;Materiais;;RUA PRINCESA MARIA DA GLORIA, 176;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;17488/20;ALCOOL GEL E SABONETE;CONVITE;ANVAX COMPANY HIGIENE E PERFUMARIA LTDA;34346501000146;ALCOOL ETILICO PARA LIMPEZA,COM TEOR ALCOOLICO DE 46INPM,LIQUIDO;AQUISI«√O DE MATERIAL DE CONSUMO (HIGIENE E LIMPEZA) PARA A DIRETORIA DE ENSINO REGI√O S√O BERNARDO DO CAMPO DEVIDO A PANDEMIA DO COVID-19.;30;28 - FRASCO 1 L;5,3;159;2020NE00308;43956;2;Materiais;;RUA PRINCESA MARIA DA GLORIA, 176;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;17488/20;ALCOOL GEL E SABONETE;CONVITE;ANVAX COMPANY HIGIENE E PERFUMARIA LTDA;34346501000146;SABONETE LIQUIDO,CREMOSO,AG.BACTERICIDA,ERVA DOCE,PH 5.5 A 6.5,VERDE;AQUISI«√O DE MATERIAL DE CONSUMO (HIGIENE E LIMPEZA) PARA A DIRETORIA DE ENSINO REGI√O S√O BERNARDO DO CAMPO DEVIDO A PANDEMIA DO COVID-19.;3;246 - GALAO 5 L;9,8;29,4;2020NE00309;43956;2;Materiais;;RUA PRINCESA MARIA DA GLORIA, 176;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;17488/20;ALCOOL GEL E SABONETE;CONVITE;HOMY INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;43085349000186;HIGIENIZADOR,GEL,NEUTRO,ALCOOL ETILICO 70%,BACTERICIDA,VALVULA PUMP;AQUISI«√O DE MATERIAL DE CONSUMO (HIGIENE E LIMPEZA) PARA A DIRETORIA DE ENSINO REGI√O S√O BERNARDO DO CAMPO DEVIDO A PANDEMIA DO COVID-19.;30;120 - FRASCO 500 ML;7,98;239,4;2020NE00310;43956;2;Materiais;;RUA PRINCESA MARIA DA GLORIA, 176;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;23988/20;KIT HIGIENE E LIMPEZA;DISPENSA DE LICITACAO;SUPERMERCADO 14 LT;53917324000155;HIGIENIZADOR, 70% ETANOL, BACTERICIDA, EM GALAO DE 5L;AQUISICAO DE KIT DE HIGIENE E LIMPEZA (ALCOOL GEL, AGUA SANITARIA E SABONETE LIQUIDO) PARA A DIRETORIA DE ENSINO, EM ATENDIMENTO A LEI FEDERAL N∫ 13979/2020 QUE TRATA DE MEDIDAS DE ENFRENTAMENTO AO COVID-19.;4;246 - GALAO 5 L;75;300;2020NE00327;43963;5;Materiais;;RUA GONÁALVES DIAS, 291;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;23988/20;KIT HIGIENE E LIMPEZA;DISPENSA DE LICITACAO;SUPERMERCADO 14 LT;53917324000155;SABONETE, LIQUIDO, NEUTRO;AQUISICAO DE KIT DE HIGIENE E LIMPEZA (ALCOOL GEL, AGUA SANITARIA E SABONETE LIQUIDO) PARA A DIRETORIA DE ENSINO, EM ATENDIMENTO A LEI FEDERAL N∫ 13979/2020 QUE TRATA DE MEDIDAS DE ENFRENTAMENTO AO COVID-19.;5;34 - FRASCO 250 ML;21;105;2020NE00327;43963;5;Materiais;;RUA GONÁALVES DIAS, 291;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;23988/20;KIT HIGIENE E LIMPEZA;DISPENSA DE LICITACAO;SUPERMERCADO 14 LT;53917324000155;AGUA SANITARIA, HIPOCLORITO DE SODIO 5,0%;AQUISICAO DE KIT DE HIGIENE E LIMPEZA (ALCOOL GEL, AGUA SANITARIA E SABONETE LIQUIDO) PARA A DIRETORIA DE ENSINO, EM ATENDIMENTO A LEI FEDERAL N∫ 13979/2020 QUE TRATA DE MEDIDAS DE ENFRENTAMENTO AO COVID-19.;1;246 - GALAO 5 L;10,4;10,4;2020NE00328;43963;5;Materiais;;RUA GONÁALVES DIAS,291;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - SALAS DE AULA;PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;17838,066;11 - M2;2,3;41027,55;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - SANITARIOS E VESTIARIOS;PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;661,047;11 - M2;2,3;1520,41;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - SANITARIOS DE USO PUBLICO OU COLETIVO DE GRANDE CIRCULACAO;PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;2745,091;11 - M2;2,5;6862,73;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - SALAS DE ATIVIDADES COMPLEMENTARES (INFORMATICA, LABORATORIOS, OFICINAS, VIDEO, GREMIOS);PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;6184,789;11 - M2;1;6184,79;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - BIBLIOTECAS E SALAS DE LEITURA;PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;2334,443;11 - M2;1;2334,44;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - AREAS DE CIRCULACAO (CORREDORES, ESCADAS, RAMPAS E ELEVADORES);PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;13008,518;11 - M2;0,7;9105,96;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - PATIOS COBERTOS, QUADRAS COBERTAS E REFEITORIOS;PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;34835,094;11 - M2;0,7;24384,57;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
SECRETARIA DA EDUCACAO;05834/20.;LIMPEZA ESCOLAR;DISPENSA DE LICITACAO;SHALOM SERVICOS TERCEIRIZADOS EIRELI - EPP;14709296000129;LIMPEZA ESCOLAR - ADMINISTRATIVAS (DIRETORIA E VICE, SALA DE COORDENADOR, SALA DOS PROFESSORES) 2 TURNOS- AR. INTERNA;PRESTACAO DE SERVICOS DE LIMPEZA DE AMBIENTE ESCOLAR,ATRAVES DE DISPENSA DE LICITACAO, NOS TERMOS DO ART.24, INCISO IV, DA LEI 8666/93;4928,206;11 - M2;2,39;11778,41;2020NE00102;43862;5;ServiÁos;;AVENIDA MANOEL GOULART, 2651;GOVERNO DO ESTADO DE SAO PAULO
