Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,1/27/2021 19:15,29868274,632843,18803236
,0,1/27/2021 19:15,22786256,368095,21230001
,0,1/27/2021 19:15,15536766,407650,13683530
,0,1/27/2021 19:15,29606969,683221,16485477
,0,1/27/2021 19:15,3507766,88016,2980386
,0,1/27/2021 19:15,50021,1076,33991
,0,1/27/2021 19:15,721,15,706
,World,1/27/2021 19:15,101356773,2180916,73217327
,US,1/27/2021 19:15,26133923,438541,15870589
,India,1/27/2021 19:15,10701840,153875,10372604
,Brazil,1/27/2021 19:15,8996876,220161,7798655
,Russia,1/27/2021 19:15,3774672,71076,3202483
,UK,1/27/2021 19:15,3715054,101887,1673936
,France,1/27/2021 19:15,3106859,74456,220570
,Spain,1/27/2021 19:15,2774014,57291,0
,Italy,1/27/2021 19:15,2501147,86889,1936289
,Turkey,1/27/2021 19:15,2449839,25476,2331314
,Germany,1/27/2021 19:15,2179679,55358,1866000
,Colombia,1/27/2021 19:15,2055305,52523,1880041
,Argentina,1/27/2021 19:15,1896053,47435,1682563
,Mexico,1/27/2021 19:15,1788905,152016,1348660
,Poland,1/27/2021 19:15,1489512,36054,1246267
,South Africa,1/27/2021 19:15,1430648,42550,1263476
,Iran,1/27/2021 19:15,1392314,57651,1183463
,Ukraine,1/27/2021 19:15,1200883,22202,980085
,Peru,1/27/2021 19:15,1107239,40107,1022736
,Indonesia,1/27/2021 19:15,1024298,28855,831330
,Netherlands,1/27/2021 19:15,961593,13733,0
,Czechia,1/27/2021 19:15,956155,15791,841518
,Canada,1/27/2021 19:15,760020,19505,682211
,Romania,1/27/2021 19:15,718612,18015,662400
,Chile,1/27/2021 19:15,709888,18040,666799
Brussels,Belgium,1/27/2021 19:15,696642,20879,48224
,Portugal,1/27/2021 19:15,668951,11305,484753
,Israel,1/27/2021 19:15,621590,4605,542345
,Iraq,1/27/2021 19:15,616259,13018,586327
,Sweden,1/27/2021 19:15,560472,11425,0
,Pakistan,1/27/2021 19:15,537477,11450,492207
,Bangladesh,1/27/2021 19:15,533444,8072,477935
,Philippines,1/27/2021 19:15,518407,10481,475542
,Switzerland,1/27/2021 19:15,517705,9259,317600
,Morocco,1/27/2021 19:15,468383,8207,446181
,Austria,1/27/2021 19:15,408781,7564,386351
,Serbia,1/27/2021 19:15,389045,3944,31536
,Japan,1/27/2021 19:15,371680,5252,308164
,Saudi Arabia,1/27/2021 19:15,367023,6363,358545
,Hungary,1/27/2021 19:15,361881,12198,246596
,Jordan,1/27/2021 19:15,323111,4262,311080
,Panama,1/27/2021 19:15,313834,5137,263495
