Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,0/20/2020 21:00,10205637,336435,6792901
,0,0/20/2020 21:00,12688517,226998,11088967
,0,0/20/2020 21:00,9096117,282065,8059660
,0,0/20/2020 21:00,7319169,242056,3266032
,0,0/20/2020 21:00,1674644,40285,1376301
,0,0/20/2020 21:00,34508,955,30755
,0,0/20/2020 21:00,721,15,659
,World,0/20/2020 21:00,41019313,1128809,30615275
,US,0/20/2020 21:00,8516744,226053,5541776
,India,0/20/2020 21:00,7649158,115950,6792550
,Brazil,0/20/2020 21:00,5274817,154888,4721593
,Russia,0/20/2020 21:00,1431635,24635,1085608
,Spain,0/20/2020 21:00,1029668,34210,0
,Argentina,0/20/2020 21:00,1018999,27100,829647
,Colombia,0/20/2020 21:00,974139,29272,876731
,France,0/20/2020 21:00,930745,33885,106839
,Peru,0/20/2020 21:00,874118,33875,788494
,Mexico,0/20/2020 21:00,854926,86338,623494
,UK,0/20/2020 21:00,762542,43967,0
,South Africa,0/20/2020 21:00,706304,18656,639568
,Iran,0/20/2020 21:00,539670,31034,434676
,Chile,0/20/2020 21:00,494478,13702,466643
,Iraq,0/20/2020 21:00,434598,10366,366134
,Italy,0/20/2020 21:00,434449,36705,255005
,Bangladesh,0/20/2020 21:00,391586,5699,307141
,Germany,0/20/2020 21:00,380898,9955,298300
,Indonesia,0/20/2020 21:00,368842,12734,293653
,Philippines,0/20/2020 21:00,360775,6690,310642
,Turkey,0/20/2020 21:00,351413,9445,306939
,Saudi Arabia,0/20/2020 21:00,342968,5217,329270
,Pakistan,0/20/2020 21:00,324077,6673,308020
,Ukraine,0/20/2020 21:00,309107,5786,129533
,Israel,0/20/2020 21:00,306162,2278,282505
,Netherlands,0/20/2020 21:00,244391,6814,0
Brussels,Belgium,0/20/2020 21:00,230480,10443,21214
,Canada,0/20/2020 21:00,203688,9794,171743
,Czechia,0/20/2020 21:00,193946,1619,79108
,Poland,0/20/2020 21:00,192539,3721,95956
,Romania,0/20/2020 21:00,186254,5996,134395
,Morocco,0/20/2020 21:00,179003,3027,148838
,Ecuador,0/20/2020 21:00,154115,12404,134187
,Bolivia,0/20/2020 21:00,139890,8502,104957
,Nepal,0/20/2020 21:00,139129,765,96609
,Qatar,0/20/2020 21:00,129944,224,126866
,Panama,0/20/2020 21:00,125739,2585,102028
,Dominican Republic,0/20/2020 21:00,121973,2204,99271
,Kuwait,0/20/2020 21:00,117718,714,109198
,United Arab Emirates,0/20/2020 21:00,117594,470,110313
,Oman,0/20/2020 21:00,111033,1122,96949
,Kazakhstan,0/20/2020 21:00,109623,1768,105145
,Sweden,0/20/2020 21:00,106380,5922,0
,Egypt,0/20/2020 21:00,105705,6142,98413
,Portugal,0/20/2020 21:00,103736,2213,61898
,Guatemala,0/20/2020 21:00,102219,3546,91604
,Costa Rica,0/20/2020 21:00,97922,1222,60109
,Japan,0/20/2020 21:00,93480,1676,86513
,Ethiopia,0/20/2020 21:00,90490,1371,43638
,Honduras,0/20/2020 21:00,89381,2576,35398
,Belarus,0/20/2020 21:00,88909,937,80503
,Venezuela,0/20/2020 21:00,87644,747,80316
,Switzerland,0/20/2020 21:00,86167,2145,54600
,Bahrain,0/20/2020 21:00,78533,305,75089
,Moldova,0/20/2020 21:00,67958,1617,49083
,Austria,0/20/2020 21:00,67451,914,51407
,Armenia,0/20/2020 21:00,66694,1101,48734
,Lebanon,0/20/2020 21:00,64336,531,29498
,Uzbekistan,0/20/2020 21:00,63831,534,60910
,Nigeria,0/20/2020 21:00,61558,1125,56697
,Singapore,0/20/2020 21:00,57921,28,57819
,Paraguay,0/20/2020 21:00,56073,1231,37167
,Algeria,0/20/2020 21:00,54829,1873,38346
,Kyrgyzstan,0/20/2020 21:00,52910,1113,46139
,Ireland,0/20/2020 21:00,52256,1865,23364
,Libya,0/20/2020 21:00,50906,746,27832
,Hungary,0/20/2020 21:00,48757,1211,14637
,Palestine,0/20/2020 21:00,48129,421,41455
,Ghana,0/20/2020 21:00,47372,310,46664
,Azerbaijan,0/20/2020 21:00,45879,635,40272
,Kenya,0/20/2020 21:00,45647,842,32522
,Tunisia,0/20/2020 21:00,44450,711,5032
,Jordan,0/20/2020 21:00,40972,414,7123
,Afghanistan,0/20/2020 21:00,40357,1499,33790
,Myanmar,0/20/2020 21:00,38502,945,18874
,Serbia,0/20/2020 21:00,36608,780,31536
,Denmark,0/20/2020 21:00,36373,688,29998
,Bosnia and Herzegovina,0/20/2020 21:00,35389,1017,25560
,El Salvador,0/20/2020 21:00,31975,929,27453
,Bulgaria,0/20/2020 21:00,31863,1019,17414
,Slovakia,0/20/2020 21:00,31400,98,8004
,Australia,0/20/2020 21:00,27429,905,25126
,Croatia,0/20/2020 21:00,26863,382,20962
,Greece,0/20/2020 21:00,26469,528,9989
,South Korea,0/20/2020 21:00,25333,447,23466
,North Macedonia,0/20/2020 21:00,24196,850,17673
,Malaysia,0/20/2020 21:00,22225,193,14351
,Cameroon,0/20/2020 21:00,21570,425,20117
,Ivory Coast,0/20/2020 21:00,20342,121,20044
,Georgia,0/20/2020 21:00,19857,158,8666
,Albania,0/20/2020 21:00,17651,458,10225
,Madagascar,0/20/2020 21:00,16810,238,16215
,Norway,0/20/2020 21:00,16772,278,11863
,Zambia,0/20/2020 21:00,15982,346,15038
,Montenegro,0/20/2020 21:00,15892,247,11581
,Senegal,0/20/2020 21:00,15459,320,13922
,Slovenia,0/20/2020 21:00,14473,192,6572
,Finland,0/20/2020 21:00,13849,351,9100
,Sudan,0/20/2020 21:00,13724,836,6764
,Namibia,0/20/2020 21:00,12367,132,10528
,Guinea,0/20/2020 21:00,11538,70,10447
,Maldives,0/20/2020 21:00,11271,37,10234
,Luxembourg,0/20/2020 21:00,11241,136,8471
,Mozambique,0/20/2020 21:00,11190,78,9007
,DRC,0/20/2020 21:00,11066,303,10362
,Uganda,0/20/2020 21:00,10788,97,7066
,Tajikistan,0/20/2020 21:00,10574,80,9617
,French Guiana,0/20/2020 21:00,10268,69,9995
,Haiti,0/20/2020 21:00,8976,231,7303
,Gabon,0/20/2020 21:00,8884,54,8452
,Jamaica,0/20/2020 21:00,8374,174,4002
,Zimbabwe,0/20/2020 21:00,8187,233,7692
,Angola,0/20/2020 21:00,8049,251,3037
,Lithuania,0/20/2020 21:00,7928,118,3276
,Cabo Verde,0/20/2020 21:00,7901,87,6792
,Mauritania,0/20/2020 21:00,7634,163,7359
,Guadeloupe,0/20/2020 21:00,7329,115,2199
,Cuba,0/20/2020 21:00,6305,127,5806
,Bahamas,0/20/2020 21:00,5923,124,3525
,Malawi,0/20/2020 21:00,5861,182,4757
,Sri Lanka,0/20/2020 21:00,5811,13,3457
,Eswatini,0/20/2020 21:00,5800,116,5437
,Botswana,0/20/2020 21:00,5609,21,915
,Djibouti,0/20/2020 21:00,5499,61,5384
,Nicaragua,0/20/2020 21:00,5353,154,4225
,Trinidad and Tobago,0/20/2020 21:00,5333,98,3758
Hong Kong,Hong Kong,0/20/2020 21:00,5262,105,4996
,Syria,0/20/2020 21:00,5180,254,1596
,Congo,0/20/2020 21:00,5156,92,3887
,Suriname,0/20/2020 21:00,5144,109,4979
,Equatorial Guinea,0/20/2020 21:00,5074,83,4954
,Rwanda,0/20/2020 21:00,4996,34,4797
,Reunion,0/20/2020 21:00,4921,17,4445
,Malta,0/20/2020 21:00,4871,46,3282
,CAR,0/20/2020 21:00,4856,62,1924
,French Polynesia,0/20/2020 21:00,4548,16,3202
,Aruba,0/20/2020 21:00,4355,34,4065
,Iceland,0/20/2020 21:00,4193,11,2930
,Mayotte,0/20/2020 21:00,4159,43,2964
,Estonia,0/20/2020 21:00,4127,71,3270
,Somalia,0/20/2020 21:00,3890,99,3089
,Guyana,0/20/2020 21:00,3796,114,2796
,Thailand,0/20/2020 21:00,3700,59,3491
,Gambia,0/20/2020 21:00,3649,118,2649
,Andorra,0/20/2020 21:00,3623,62,2273
,Latvia,0/20/2020 21:00,3609,47,1341
,Mali,0/20/2020 21:00,3411,132,2593
,South Sudan,0/20/2020 21:00,2847,55,1290
,Cyprus,0/20/2020 21:00,2839,25,1444
,Belize,0/20/2020 21:00,2833,45,1692
,Uruguay,0/20/2020 21:00,2623,52,2142
,Benin,0/20/2020 21:00,2496,41,2330
,Guinea-Bissau,0/20/2020 21:00,2403,41,1818
,Burkina Faso,0/20/2020 21:00,2387,65,1802
,Sierra Leone,0/20/2020 21:00,2336,73,1765
,Martinique,0/20/2020 21:00,2257,24,98
,Togo,0/20/2020 21:00,2104,51,1555
,Yemen,0/20/2020 21:00,2057,597,1338
,Lesotho,0/20/2020 21:00,1918,43,961
,New Zealand,0/20/2020 21:00,1887,25,1829
,Chad,0/20/2020 21:00,1399,93,1199
,Liberia,0/20/2020 21:00,1381,82,1271
,Niger,0/20/2020 21:00,1211,69,1128
,Vietnam,0/20/2020 21:00,1141,35,1046
,Sao Tome and Principe,0/20/2020 21:00,933,15,898
,Channel Islands,0/20/2020 21:00,768,48,659
,San Marino,0/20/2020 21:00,766,42,688
,Curacao,0/20/2020 21:00,759,1,466
,Sint Maarten,0/20/2020 21:00,756,22,675
Yokohama,Japan,0/20/2020 21:00,712,13,659
,Turks and Caicos,0/20/2020 21:00,698,6,689
,Gibraltar,0/20/2020 21:00,608,0,471
,Papua New Guinea,0/20/2020 21:00,581,7,541
,Burundi,0/20/2020 21:00,550,1,497
Taiwan,Taiwan,0/20/2020 21:00,543,7,495
,Saint Martin,0/20/2020 21:00,531,8,380
,Tanzania,0/20/2020 21:00,509,21,183
,Comoros,0/20/2020 21:00,504,7,494
,Faeroe Islands,0/20/2020 21:00,488,0,472
,Eritrea,0/20/2020 21:00,452,0,388
,Mauritius,0/20/2020 21:00,419,10,379
,Isle of Man,0/20/2020 21:00,348,24,321
,Bhutan,0/20/2020 21:00,330,0,301
,Mongolia,0/20/2020 21:00,326,0,312
,Cambodia,0/20/2020 21:00,285,0,280
,Monaco,0/20/2020 21:00,271,2,227
,Cayman Islands,0/20/2020 21:00,235,1,212
,Liechtenstein,0/20/2020 21:00,235,1,142
,Barbados,0/20/2020 21:00,222,7,203
,Bermuda,0/20/2020 21:00,188,9,174
,Caribbean Netherlands,0/20/2020 21:00,150,3,121
,Seychelles,0/20/2020 21:00,149,0,148
,Brunei,0/20/2020 21:00,147,3,143
,Antigua and Barbuda,0/20/2020 21:00,119,3,101
,St. Barth,0/20/2020 21:00,72,0,55
,British Virgin Islands,0/20/2020 21:00,71,1,70
,St. Vincent Grenadines,0/20/2020 21:00,68,0,64
Macau,Macau,0/20/2020 21:00,46,0,46
,Saint Lucia,0/20/2020 21:00,36,0,27
,Dominica,0/20/2020 21:00,33,0,29
,Fiji,0/20/2020 21:00,32,2,30
,Timor-Leste,0/20/2020 21:00,29,0,28
,Grenada,0/20/2020 21:00,27,0,24
,Vatican City,0/20/2020 21:00,27,0,15
,New Caledonia,0/20/2020 21:00,27,0,27
,Laos,0/20/2020 21:00,23,0,22
,Saint Kitts and Nevis,0/20/2020 21:00,19,0,19
,Greenland,0/20/2020 21:00,16,0,16
,Saint Pierre Miquelon,0/20/2020 21:00,16,0,12
,Montserrat,0/20/2020 21:00,13,1,12
,Falkland Islands,0/20/2020 21:00,13,0,13
,Western Sahara,0/20/2020 21:00,10,1,8
,MS Zaandam,0/20/2020 21:00,9,2,0
,Anguilla,0/20/2020 21:00,3,0,3
,Solomon Islands,0/20/2020 21:00,3,0,0
,Wallis and Futuna,0/20/2020 21:00,1,0,0
,China,0/20/2020 21:00,85704,4634,80812
